name,moa,target,disease_area,indication,phase
PHA-848125,"CDK inhibitor, growth factor receptor inhibitor","CDK2, CDK4, CDK7, NTRK1",,,Phase 2
PI-103,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC",,,Preclinical
PI-828,PI3K inhibitor,,,,Preclinical
PI3K-IN-2,PI3K inhibitor,,,,Phase 2
PIK-75,"DNA protein kinase inhibitor, PI3K inhibitor","PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC",,,Preclinical
PJ-34,PARP inhibitor,"EEF2, PARP1, PARP15, PARP3",,,Preclinical
PKI-179,"mTOR inhibitor, PI3K inhibitor",MTOR,,,Phase 1
PLX-4720,RAF inhibitor,"BRAF, KDR",,,Preclinical
PP-1,src inhibitor,"HCK, RET",,,Preclinical
PP-121,protein tyrosine kinase inhibitor,"ABL1, EGFR, HCK, KDR, MTOR, PDGFRA, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC, SRC",,,Preclinical
PP-2,src inhibitor,"ABL1, LCK, LYN, RIPK2, SRC",,,Preclinical
PP242,mTOR inhibitor,"MTOR, PASK",,,Preclinical
PPT,estrogen receptor agonist,ESR1,,,Preclinical
PQ-401,IGF-1 inhibitor,IGF1R,,,Preclinical
PR-619,DUB inhibitor,,,,Preclinical
PRT062070,"JAK inhibitor, syk inhibitor",SYK,,,Phase 1
PRT062607,syk inhibitor,"FGR, MAP3K9, SYK",,,Phase 2
PSB-1115,adenosine receptor antagonist,"ADORA1, ADORA2B, ADORA3",,,Preclinical
PSI-7976,HCV inhibitor,,,,Preclinical
PTC-209,BMI-1 inhibitor,,,,Preclinical
PU-H71,HSP inhibitor,HSP90AA1,,,Phase 1
R306465,HDAC inhibitor,,,,Phase 1
R406,SYK inhibitor,"RET, SYK",,,Phase 1
R547,CDK inhibitor,"CDK1, CDK2, CDK4, CDK7",,,Phase 1
RAF265,"RAF inhibitor, VEGFR inhibitor",BRAF,,,Phase 2
RG108,DNA methyltransferase inhibitor,"DNMT1, DNMT3B",,,Preclinical
RG2833,HDAC inhibitor,"HDAC1, HDAC3",,,Phase 1
RGFP966,HDAC inhibitor,HDAC3,,,Preclinical
RI-1,,RAD51,,,Preclinical
RITA,MDM inhibitor,MDM2,,,Preclinical
RKI-1447,rho associated kinase inhibitor,"CDC42BPA, DMPK, LIMK1, MYLK, PAK1, PKN1, ROCK1, ROCK2",,,Preclinical
RN-1734,TRPV antagonist,TRPV4,,,Preclinical
RS-16566,serotonin receptor antagonist,,,,Preclinical
RS-17053,adrenergic receptor antagonist,"ADRA1A, ADRA1D",,,Preclinical
RS-504393,CC chemokine receptor antagonist,"CCL2, CCR2",,,Preclinical
RS-67506,serotonin receptor partial agonist,HTR4,,,Preclinical
RU-58841,androgen receptor antagonist,AR,,,Phase 2
Ro-04-5595,,GRIN2B,,,Preclinical
Ro-10-5824,dopamine receptor agonist,DRD4,,,Preclinical
Ro-106-9920,NFkB pathway inhibitor,,,,Preclinical
Ro-4987655,MEK inhibitor,MAP2K1,,,Phase 1
Ro-90-7501,,APP,,,Preclinical
Ro-9187,HCV inhibitor,,,,Preclinical
S-methylcysteine,,"CTSD, MGMT",,,Phase 1
S26948,PPAR receptor agonist,PPARG,,,Preclinical
SAR131675,VEGFR inhibitor,FLT4,,,Preclinical
SB-200646,serotonin receptor antagonist,"HTR2B, HTR2C",,,Preclinical
SB-205384,GABA receptor modulator,"GABRA3, GABRA5, GABRA6",,,Preclinical
SB-216641,serotonin receptor antagonist,"HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C",,,Preclinical
SB-218078,CHK inhibitor,CHEK1,,,Preclinical
SB-218795,tachykinin antagonist,TACR3,,,Preclinical
SB-225002,CC chemokine receptor antagonist,CXCR2,,,Preclinical
SB-228357,serotonin receptor antagonist,"HTR2A, HTR2B, HTR2C",,,Preclinical
SB-2343,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",,,Phase 1
SB-239063,p38 MAPK inhibitor,"MAPK11, MAPK14, PTGS2",,,Preclinical
SB-242235,p38 MAPK inhibitor,"HSPB1, MAPK14",,,Phase 1
SB-366791,TRPV antagonist,TRPV1,,,Preclinical
SB-431542,TGF beta receptor inhibitor,"ACVR1C, TGFBR1",,,Preclinical
SB-505124,ALK tyrosine kinase receptor inhibitor,TGFBR1,,,Preclinical
SB-525334,TGF beta receptor inhibitor,TGFBR1,,,Preclinical
SB-590885,RAF inhibitor,BRAF,,,Preclinical
SB-657510,urotensin receptor antagonist,UTS2R,,,Preclinical
SB-743921,kinesin-like spindle protein inhibitor,KIF11,,,Phase 1/Phase 2
SB-939,HDAC inhibitor,"HDAC1, HDAC10, HDAC3, HDAC4, HDAC5, HDAC9",,,Phase 2
SC-12267,dihydroorotate dehydrogenase inhibitor,IL17A,,,Phase 2
SC-144,P glycoprotein inhibitor,,,,Preclinical
SCH-58261,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3",,,Preclinical
SCH-900776,CHK inhibitor,"CDK2, CHEK1",,,Phase 2
SCS,,,,,Preclinical
SDZ-WAG-994,adenosine receptor agonist,ADORA1,,,Phase 2
SGI-1027,DNA methyltransferase inhibitor,"DNMT1, DNMT3A, DNMT3B",,,Preclinical
SGI-1776,Pim kinase inhibitor,"FLT3, PIM1, PIM2, PIM3",,,Phase 1
SIB-1757,glutamate receptor antagonist,GRM5,,,Preclinical
SID-7969543,steroidogenic factor antagonist,NR5A1,,,Preclinical
SKF-96365,calcium channel blocker,"CYP3A4, PKD2, TRPC1, TRPC3, TRPC4, TRPC5, TRPV2",,,Preclinical
SKI-II,sphingosine kinase inhibitor,SPHK1,,,Preclinical
SMI-4a,Pim kinase inhibitor,PIM1,,,Preclinical
SN-38,topoisomerase inhibitor,TOP1,oncology,colorectal cancer,Launched
SNS-314,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",,,Phase 1
SNX-2112,HSP inhibitor,,,,Phase 1
SNX-5422,HSP inhibitor,HSP90AA1,,,Phase 1/Phase 2
SR-27897,CCK receptor antagonist,CCKAR,,,Phase 2
SR-33805,calcium channel blocker,,,,Phase 1
SR-57227A,serotonin receptor agonist,HTR3A,,,Phase 2
SRT1720,SIRT activator,SIRT1,,,Preclinical
STA-5326,interleukin synthesis inhibitor,IL12A,,,Phase 2
STF-118804,NAMPT inhibitor,NAMPT,,,Preclinical
SU014813,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",KDR,,,Phase 2
SU3327,JNK inhibitor,MAPK8,,,Preclinical
TAK-285,EGFR inhibitor,ERBB2,,,Phase 1
TAK-632,RAF inhibitor,BRAF,,,Preclinical
TAK-715,p38 MAPK inhibitor,MAPK14,,,Phase 2
TAK-733,MEK inhibitor,MAP2K1,,,Phase 1
TAK-901,Aurora kinase inhibitor,AURKB,,,Phase 1
TAME,,,,,Preclinical
TAS-103,topoisomerase inhibitor,TOP1,,,Phase 1
TC1,beta-secretase inhibitor,BACE1,,,Preclinical
TG-02,"CDK inhibitor, FLT3 inhibitor, JAK inhibitor","CDK1, CDK2, CDK7, CDK9, FLT3, JAK2",,,Phase 1
TG-100572,"src inhibitor, VEGFR inhibitor","KDR, SRC",,,Preclinical
TG-100713,PI3K inhibitor,,,,Preclinical
TG-101209,JAK inhibitor,"JAK2, JAK3",,,Preclinical
TG-101348,"FLT3 inhibitor, JAK inhibitor","BRD4, JAK1, JAK2, JAK3, TYK2",,,Phase 3
TG100-115,PI3K inhibitor,"PIK3CA, PIK3CB, PIK3CD, PIK3CG",,,Phase 1/Phase 2
TH-302,DNA alkylating agent,,,,Phase 3
TMC-353121,RSV fusion inhibitor,,,,Phase 2
TMS,,,,,Preclinical
TPCA-1,IKK inhibitor,IKBKB,,,Preclinical
TU-2100,,,,,Phase 2
TW-37,BCL inhibitor,"BCL2, BCL2L1, MCL1",,,Preclinical
TWS-119,glycogen synthase kinase inhibitor,"GSK3B, JUN, MYC",,,Preclinical
U-0126,MEK inhibitor,"AKT1, CHEK1, GSK3B, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1",,,Preclinical
U-18666A,oxidosqualene cyclase inhibitor,,,,Preclinical
UH-232-(+),dopamine receptor antagonist,"DRD2, DRD3, DRD4, HTR1A",,,Preclinical
UK-383367,Procollagen C-Endopeptidase Inhibitors,BMP1,,,Phase 1
UNBS-5162,CC chemokine receptor antagonist,,,,Phase 1
UNC0631,histone lysine methyltransferase inhibitor,EHMT2,,,Preclinical
UNC2250,MER tyrosine kinase inhibitor,MERTK,,,Preclinical
VE-821,ATR kinase inhibitor,ATR,,,Preclinical
VE-822,ATR kinase inhibitor,"ATM, ATR, MTOR, PIK3CG",,,Phase 2
VER-49009,HSP inhibitor,HSP90AA1,,,Preclinical
VLX600,ubiquitin C-terminal hydrolase inhibitor,USP14,,,Phase 1
VS-4718,focal adhesion kinase inhibitor,,,,Phase 1
VTP-27999,renin inhibitor,REN,,,Phase 1
VU0238429,acetylcholine receptor allosteric modulator,CHRM5,,,Preclinical
VU0361737,glutamate receptor positive allosteric modulator,GRM4,,,Preclinical
VU0364770,glutamate receptor positive allosteric modulator,GRM4,,,Preclinical
VX-702,p38 MAPK inhibitor,"MAPK11, MAPK12, MAPK14",,,Phase 2
VX-765,caspase inhibitor,CASP1,,,Phase 2
WAY-170523,metalloproteinase inhibitor,MMP13,,,Preclinical
WAY-600,mTOR inhibitor,MTOR,,,Preclinical
WHI-P154,JAK inhibitor,"EGFR, JAK1, JAK2, JAK3",,,Preclinical
WP1066,STAT inhibitor,STAT3,,,Phase 1
WP1130,deubiquitinase inhibitor,"JAK2, UCHL5, USP14, USP9X",,,Preclinical
WYE-125132,mTOR inhibitor,MTOR,,,Preclinical
WYE-354,mTOR inhibitor,MTOR,,,Preclinical
WZ-3146,EGFR inhibitor,EGFR,,,Preclinical
WZ-4002,EGFR inhibitor,"EGFR, ERBB2",,,Preclinical
WZ8040,EGFR inhibitor,EGFR,,,Preclinical
XBD173,benzodiazepine receptor ligand,TSPO,,,Phase 2
XL-647,"EGFR inhibitor, VEGFR inhibitor","EGFR, EPHB4, ERBB2, FLT4, KDR",,,Phase 3
XL388,mTOR inhibitor,MTOR,,,Preclinical
XL888,HSP inhibitor,,,,Phase 1
Y-27632,rho associated kinase inhibitor,"PKIA, PKN2, PRKACA, PRKCE, ROCK1, ROCK2",,,Preclinical
Y-320,interleukin inhibitor,IL17A,,,Preclinical
Y-39983,rho associated kinase inhibitor,"ROCK1, ROCK2",,,Phase 2
YM-155,survivin inhibitor,BIRC5,,,Phase 2
YM-201636,PI3K inhibitor,,,,Preclinical
YM-976,phosphodiesterase inhibitor,PDE4A,,,Phase 1
YO-01027,gamma secretase inhibitor,,,,Preclinical
ZK-93423,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2",,,Phase 3
ZK-93426,benzodiazepine receptor antagonist,"GABRA1, GABRA2, GABRA3, GABRA5",,,Phase 1
ZK811752,CC chemokine receptor antagonist,CCR1,,,Phase 2
ZLN005,,,,,Preclinical
ZM-306416,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor","EGFR, FLT1, FLT4, KDR",,,Preclinical
ZM-447439,Aurora kinase inhibitor,"AURKA, AURKB",,,Preclinical
ZSTK-474,PI3K inhibitor,"PIK3CB, PIK3CD, PIK3CG",,,Phase 1/Phase 2
abemaciclib,CDK inhibitor,"CDK4, CDK6",oncology,breast cancer,Launched
abiraterone,androgen biosynthesis inhibitor,"CYP11B1, CYP17A1",oncology,prostate cancer,Launched
abiraterone-acetate,androgen biosynthesis inhibitor,CYP17A1,oncology,prostate cancer,Launched
acesulfame-potassium,,,,,Phase 3
acetazolamide,carbonic anhydrase inhibitor,"AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7",ophthalmology,glaucoma,Launched
acetophenazine,dopamine receptor antagonist,"DRD1, DRD2",neurology/psychiatry,psychosis,Launched
acetylcysteine,mucolytic agent,"ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11",gastroenterology,"acetaminophen overdose, hepatic injury",Launched
acetylsalicylsalicylic-acid,cyclooxygenase inhibitor,,,,Preclinical
acipimox,cholesterol inhibitor,HCAR2,endocrinology,hyperlipidemia,Launched
acivicin,gamma glutamyltransferase Inhibitors,CTPS1,,,Phase 2
adapalene,retinoid receptor agonist,"RARA, RARB, RARG, RXRA, RXRB, RXRG",dermatology,acne vulgaris (AV),Launched
adaprev,TGF beta receptor inhibitor,"IGF2R, M6PR",,,Phase 3
adarotene,retinoid receptor agonist,"RARB, RARG",,,Phase 1
adefovir-dipivoxil,DNA polymerase inhibitor,,infectious disease,hepatitis B,Launched
afatinib,EGFR inhibitor,"EGFR, ERBB2, ERBB4",oncology,non-small cell lung cancer (NSCLC),Launched
afobazole,anxiolytic,,neurology/psychiatry,anxiety,Launched
ajmaline,sodium channel blocker,SCN5A,cardiology,Wolff-Parkinson-White Syndrome (WPW),Launched
albendazole,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B",infectious disease,"cystic hydatid disease, parenchymal neurocysticercosis",Launched
alectinib,ALK tyrosine kinase receptor inhibitor,"ALK, MET",oncology,non-small cell lung cancer (NSCLC),Launched
alexidine,phosphatidylglycerophosphatase inhibitor,PTPMT1,,,Preclinical
alfacalcidol,vitamin D receptor agonist,"CYP27B1, VDR",endocrinology,vitamin D deficiency,Launched
alisertib,Aurora kinase inhibitor,AURKA,,,Phase 3
almorexant,orexin receptor antagonist,"HCRTR1, HCRTR2",,,Phase 3
alogliptin,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus,Launched
alpelisib,PI3K inhibitor,"PIK3CA, PIK3CB, PIK3CD, PIK3CG",,,Phase 3
altretamine,DNA synthesis inhibitor,,oncology,ovarian cancer,Launched
alvespimycin,HSP inhibitor,HSP90AA1,,,Phase 2
alvocidib,CDK inhibitor,"CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM",,,Phase 2
ambazone,DNA damage inducer,,,,Phase 1
amfenac,cyclooxygenase inhibitor,"PTGS1, PTGS2",neurology/psychiatry,pain relief,Launched
aminoglutethimide,glucocorticoid receptor antagonist,"CYP11A1, CYP19A1","endocrinology, oncology","Cushing's syndrome, breast cancer",Launched
aminopurvalanol-a,"CDK inhibitor, tyrosine kinase inhibitor","CDK1, CDK2, CDK5, CDK6",,,Preclinical
amisulpride,dopamine receptor antagonist,"DRD2, DRD3, HTR2A, HTR7",neurology/psychiatry,"psychosis, bipolar disorder, schizophrenia",Launched
ammonium-lactate,,HCAR1,dermatology,"xerosis cutis, ichthyosis vulgaris",Launched
amonafide,topoisomerase inhibitor,"TOP2A, TOP2B",,,Phase 3
amoxicillin,penicillin binding protein inhibitor,"CYP2C19, SLC15A1, SLC15A2, SLC22A6","infectious disease, gastroenterology","skin infections, duodenal ulcer disease, gonorrhea, ear infections, throat infections, genitourinary tract infections, respiratory tract infections",Launched
amprolium,thiamine uptake blocker,,infectious disease,coccidiosis,Launched
amsacrine,topoisomerase inhibitor,"KCNH2, TOP2A",hematologic malignancy,"acute lymphoblastic leukemia (ALL), acute lymphoblastic leukemia (ALL)",Launched
anagrelide,phosphodiesterase inhibitor,PDE3A,"hematology, hematologic malignancy","thrombocythemia, myeloproliferative neoplasms",Launched
anastrozole,aromatase inhibitor,CYP19A1,oncology,breast cancer,Launched
anguidine,protein synthesis inhibitor,SLC5A1,,,Phase 2
anisomycin,DNA synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1",,,Preclinical
apatinib,RET tyrosine kinase inhibitor,"CSK, KDR, KIT, RET",,,Phase 3
aphidicolin,RNA synthesis inhibitor,,,,Phase 1
arctigenin,MEK inhibitor,"CHUK, MAP2K1",,,Preclinical
arcyriaflavin-a,CDK inhibitor,"CCND1, CDK4",,,Preclinical
aripiprazole,"serotonin receptor agonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR6, HTR7",neurology/psychiatry,"depression, schizophrenia, bipolar disorder",Launched
artemisinin,DNA synthesis inhibitor,CYP2B6,infectious disease,malaria,Launched
artesunate,DNA synthesis inhibitor,,infectious disease,malaria,Launched
aspirin,cyclooxygenase inhibitor,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53","neurology/psychiatry, endocrinology, dental","headache, fever, toothache, muscle pain",Launched
astemizole,histamine receptor antagonist,"HRH1, KCNH1, KCNH2",,,Withdrawn
asymmetrical-dimethylarginine,nitric oxide synthase inhibitor,"NOS2, NOS3",,,Phase 1
atenolol-(+/-),adrenergic receptor antagonist,"ADRB1, ADRB2",cardiology,"hypertension, angina pectoris",Launched
atenolol-(-),adrenergic receptor antagonist,,,,Phase 2
atipamezole,adrenergic receptor antagonist,,neurology/psychiatry,reverse sedative,Launched
atiprimod,"JAK inhibitor, STAT inhibitor","JAK2, STAT3",,,Phase 2
atorvastatin,HMGCR inhibitor,"AHR, DPP4, HMGCR","neurology/psychiatry, cardiology","stroke, heart attack",Launched
aurora-a-inhibitor-i,Aurora kinase inhibitor,AURKA,,,Preclinical
avanafil,phosphodiesterase inhibitor,PDE5A,urology,erectile dysfunction,Launched
axitinib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1, FLT1, FLT4, KDR, PLK4",oncology,renal cell carcinoma (RCC),Launched
azacitidine,DNA methyltransferase inhibitor,"DNMT1, DNMT3A","hematologic malignancy, hematology","myelodysplastic diseases (MDS), anemia, chronic myelomonocytic leukemia (CMMoL)",Launched
azalomycin-b,bacterial 50S ribosomal subunit inhibitor,,,,Preclinical
azathioprine,dehydrogenase inhibitor,"HPRT1, IMPDH1, PPAT","transplant, rheumatology","renal homotransplantation, rheumatoid arthritis",Launched
azilsartan,angiotensin receptor antagonist,"AGTR1, AGTR2",cardiology,hypertension,Launched
azithromycin,bacterial 50S ribosomal subunit inhibitor,MLNR,infectious disease,"pelvic inflammatory disease, pneumonia",Launched
azodicarbonamide,DNA synthesis inhibitor,,,,Phase 2
azomycin-(2-nitroimidazole),protein synthesis inhibitor,,,,Preclinical
aztreonam,bacterial cell wall synthesis inhibitor,,infectious disease,"urinary tract infections, respiratory tract infections, bacterial septicemia, skin infections, intra-abdominal infections, gynecologic infections",Launched
bafetinib,"Bcr-Abl kinase inhibitor, LYN tyrosine kinase inhibitor","ABL1, BCR, LYN",,,Phase 2
baicalein,lipoxygenase inhibitor,"ALOX5, GLO1, PREP, SELL, SELP, TNF, XDH",,,Preclinical
baicalin,beta glucuronidase inhibitor,PREP,,,Launched
balapiravir,RNA polymerase inhibitor,,,,Phase 2
barasertib,Aurora kinase inhibitor,"AURKA, AURKB",,,Phase 2/Phase 3
barasertib-HQPA,Aurora kinase inhibitor,AURKB,,,Phase 2/Phase 3
bardoxolone,"nuclear factor erythroid derived, like (NRF2) activator","NOS2, PPARG",,,Phase 1
bardoxolone-methyl,"nuclear factor erythroid derived, like (NRF2) activator","PPARG, STAT3",,,Phase 3
baricitinib,JAK inhibitor,"JAK1, JAK2",,,Phase 3
batimastat,matrix metalloprotease inhibitor,"ADAM28, ADAMTS5, MMP12, MMP16, MMP2, MMP8",,,Phase 3
beclomethasone-dipropionate,glucocorticoid receptor agonist,"GPR97, NR3C1",allergy,allergic rhinitis,Launched
bekanamycin,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections,Launched
belinostat,HDAC inhibitor,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",hematologic malignancy,peripheral T-cell lymphoma (PTCL),Launched
bendamustine,DNA inhibitor,,hematologic malignancy,"chronic lymphocytic leukemia (CLL), non-Hodgkin lymphoma (NHL)",Launched
bendroflumethiazide,sodium/potassium/chloride transporter inhibitor,"CA1, CA2, CA4, KCNMA1, SLC12A1, SLC12A3",cardiology,hypertension,Launched
benfotiamine,antioxidant,AGER,rheumatology,lumbago,Launched
bentazepam,benzodiazepine receptor agonist,,neurology/psychiatry,"anxiety, sedative, muscle relaxant",Launched
benzethonium,sodium channel blocker,SCN10A,infectious disease,first-aid antiseptic,Launched
benzocaine,sodium channel blocker,SCN10A,infectious disease,first-aid antiseptic,Launched
benzydamine,prostanoid receptor antagonist,,"dental, otolaryngology","mouth inflammation, throat inflammation",Launched
benzyldimethylhexadecylammonium,cationic surfactant,,,,Preclinical
bephenium-hydroxynaphthoate,anthelmintic agent,,infectious disease,ascariasis,Launched
berberine,LDL receptor activator,LDLR,,,Phase 2/Phase 3
beta-lapachone,topoisomerase inhibitor,TOP1,,,Phase 2
beta-naphthol,,,,,Preclinical
betamethasone,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses,Launched
betamethasone-dipropionate,anti-inflammatory agent,,dermatology,corticosteroid-responsive dermatoses,Launched
betulinic-acid,"apoptosis stimulant, NFkB pathway inhibitor",GPBAR1,,,Phase 1/Phase 2
bexarotene,retinoid receptor agonist,"RXRA, RXRB, RXRG",hematologic malignancy,cutaneous T-cell lymphoma (CTCL),Launched
bicalutamide,androgen receptor antagonist,AR,oncology,prostate cancer,Launched
bifemelane,acetylcholine release enhancer,"MAOA, MAOB","ophthalmology, neurology/psychiatry","glaucoma, senile dementia",Launched
bindarit,NFkB pathway inhibitor,"CCL2, CCL7, CCL8",,,Phase 2
birinapant,XIAP inhibitor,"BIRC2, XIAP",,,Phase 2
bis(maltolato)oxovanadium(IV),tyrosine phosphatase inhibitor,PTPN1,,,Phase 2
bisacodyl,laxative,,gastroenterology,constipation,Launched
bisindolylmaleimide-ix,PKC inhibitor,"AKT1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SIRT1",,,Preclinical
bitopertin,"glycine transporter inhibitor, GlyT-1 inhibitor","SLC6A5, SLC6A9",,,Phase 3
blebbistatin-(-),ATPase inhibitor,,,,Preclinical
bortezomib,"NFkB pathway inhibitor, proteasome inhibitor","PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMD1, PSMD2, RELA",hematologic malignancy,"multiple myeloma, mantle cell lymphoma (MCL)",Launched
bosentan,endothelin receptor antagonist,"EDNRA, EDNRB",pulmonary,pulmonary arterial hypertension (PAH),Launched
bosutinib,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor","ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK",hematologic malignancy,chronic myeloid leukemia (CML),Launched
brefeldin-a,protein synthesis inhibitor,"ARF1, CYTH2",,,Preclinical
brequinar,dihydroorotate dehydrogenase inhibitor,DHODH,,,Phase 2
brigatinib,"ALK tyrosine kinase receptor inhibitor, EGFR inhibitor","ALK, EGFR",oncology,non-small cell lung cancer (NSCLC),Launched
brilliant-green,,,,,Launched
brivaracetam,voltage-gated sodium channel blocker,SV2A,neurology/psychiatry,seizures,Launched
bromosporine,bromodomain inhibitor,,,,Preclinical
broxaldine,,,,,Preclinical
broxyquinoline,antiprotozoal agent,,,,Phase 1
bruceantin,protein synthesis inhibitor,,,,Phase 2
bucladesine,"adenosine receptor agonist, cAMP stimulant",PRKACA,dermatology,skin ulcer,Launched
bumetanide,solute carrier family member inhibitor,"CFTR, GPR35, SLC12A1, SLC12A2, SLC12A4, SLC12A5",cardiology,"edema, congestive heart failure",Launched
buparlisib,PI3K inhibitor,"PIK3CA, PIK3CG",,,Phase 3
buphenine,adrenergic receptor agonist,ADRB2,rheumatology,Raynaud's disease,Launched
busulfan,DNA inhibitor,,hematologic malignancy,chronic myeloid leukemia (CML),Launched
butamben,sodium channel blocker,,,,Withdrawn
buthionine-sulfoximine,glutathione transferase inhibitor,GCLM,,,Phase 1
butylscopolamine-bromide,cholinergic receptor antagonist,,gastroenterology,abdominal pain,Launched
cabazitaxel,microtubule inhibitor,"TUBA4A, TUBB, TUBB1",oncology,prostate cancer,Launched
cabozantinib,"RET tyrosine kinase inhibitor, VEGFR inhibitor","KDR, MET",oncology,medullary thyroid cancer (MTC),Launched
caffeic-acid,"HIV integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor","ALOX5, MIF",,,Preclinical
caffeic-acid-phenethyl-ester,HIV integrase inhibitor,RELA,,,Preclinical
calcitriol,vitamin D receptor agonist,VDR,"endocrinology, orthopedics","hypocalcemia, hypoparathyroidism, osteoporosis",Launched
camptothecin,topoisomerase inhibitor,TOP1,,,Phase 3
camylofine-chlorhydrate,,,gastroenterology,abdominal pain,Launched
candesartan,angiotensin receptor antagonist,AGTR1,cardiology,"hypertension, congestive heart failure",Launched
canertinib,EGFR inhibitor,"AKT1, EGFR, ERBB2, ERBB4",,,Phase 3
canrenone,mineralocorticoid receptor antagonist,NR3C2,,,Withdrawn
capecitabine,"DNA synthesis inhibitor, thymidylate synthase inhibitor",TYMS,oncology,"breast cancer, colorectal cancer",Launched
capsaicin,TRPV agonist,"CFTR, TRPV1","neurology/psychiatry, rheumatology","muscle pain, rheumatoid arthritis",Launched
captamine,,,,,Preclinical
carbachol,cholinergic receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2",ophthalmology,intraocular pressure,Launched
carboplatin,"DNA alkylating agent, DNA inhibitor",,oncology,ovarian cancer,Launched
carboxyamidotriazole,calcium channel blocker,CXCL8,,,Phase 3
carboxypyridine-disulfide,,,,,Phase 2
carfilzomib,proteasome inhibitor,"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9",hematologic malignancy,multiple myeloma,Launched
cariporide,sodium/hydrogen exchanger inhibitor,SLC9A1,,,Phase 3
carmofur,thymidylate synthase inhibitor,TYMS,oncology,"breast cancer, colorectal cancer",Launched
carmustine,"DNA alkylating agent, DNA inhibitor",GSR,"hematologic malignancy, oncology","non-Hodgkin lymphoma (NHL), Hodgkin's lymphoma, multiple myeloma, glioblastoma, brainstem glioma, medulloblastoma, astrocytoma, ependymoma",Launched
carvedilol,adrenergic receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, GJA1, HIF1A, KCNH2, NDUFC2, NPPB, SELE, VCAM1, VEGFA",cardiology,"myocardial infarction, hypertension",Launched
cebranopadol,opioid receptor agonist,"OPRL1, OPRM1",,,Phase 3
cediranib,"KIT inhibitor, VEGFR inhibitor","CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB",,,Phase 3
